level,product_id,identifier,filename,feature_id,start_datetime,completion_datetime,center_lon,center_lat,time_bin,lat_band,lon_band,stratum,stratum_population_n,stratum_sample_n,inclusion_probability,design_weight,sample_order
L1C,4423,phisat_PHISAT-2_L1_000004423_20260117072956_20260117072959_E7937DF5.zip,PHISAT-2_L1_000004423_20260117072956_20260117072959_E7937DF5.zip,fe9b7c3e-a8b1-5cb7-9f19-9b797b0bc158,2026-01-17 07:29:56+00:00,2026-01-17 07:29:59+00:00,52.165057856,27.820411883,4,2,2,T4_A2_L2,209,2,0.009569377990430622,104.5,57
L1C,4447,phisat_PHISAT-2_L1_000004447_20260119063852_20260119063855_13E21EA5.zip,PHISAT-2_L1_000004447_20260119063852_20260119063855_13E21EA5.zip,8638b09e-4258-5575-8b8f-522dbfd775df,2026-01-19 06:38:52+00:00,2026-01-19 06:38:55+00:00,63.454862344,25.173611126,4,2,2,T4_A2_L2,209,2,0.009569377990430622,104.5,58
L1C,4461,phisat_PHISAT-2_L1_000004461_20260121164958_20260121165000_65E49ACD.zip,PHISAT-2_L1_000004461_20260121164958_20260121165000_65E49ACD.zip,d8770adf-fab0-5bea-b7d7-7d68925be7f4,2026-01-21 16:49:58+00:00,2026-01-21 16:50:00+00:00,-91.018641536,13.567749844,4,1,0,T4_A1_L0,26,1,0.038461538461538464,26.0,59
L1C,4576,phisat_PHISAT-2_L1_000004576_20260205023451_20260205023453_20EF7F75.zip,PHISAT-2_L1_000004576_20260205023451_20260205023453_20EF7F75.zip,c531b1cc-0091-5738-b01b-5f9dc3167c46,2026-02-05 02:34:51+00:00,2026-02-05 02:34:53+00:00,118.57033274,-20.297075476,4,0,3,T4_A0_L3,48,1,0.020833333333333332,48.0,60
L1C,4689,phisat_PHISAT-2_L1_000004689_20260308055710_20260308055713_30A85319.zip,PHISAT-2_L1_000004689_20260308055710_20260308055713_30A85319.zip,f6bfd219-0b1b-56c9-8776-3539096478ff,2026-03-08 05:57:10+00:00,2026-03-08 05:57:13+00:00,73.799615492,15.367515942,4,1,2,T4_A1_L2,27,1,0.037037037037037035,27.0,61
L1C,4797,phisat_PHISAT-2_L1_000004797_20260324173121_20260324173124_66271D37.zip,PHISAT-2_L1_000004797_20260324173121_20260324173124_66271D37.zip,d43c084d-fa26-597a-95c4-76b09e68565d,2026-03-24 17:31:21+00:00,2026-03-24 17:31:24+00:00,-97.045913966,30.859465742,4,2,0,T4_A2_L0,131,2,0.015267175572519083,65.5,62
L1C,4844,phisat_PHISAT-2_L1_000004844_20260328135815_20260328135818_A2F8A831.zip,PHISAT-2_L1_000004844_20260328135815_20260328135818_A2F8A831.zip,14e7dc30-7920-5355-84c0-c10ff4cc8c2f,2026-03-28 13:58:15+00:00,2026-03-28 13:58:18+00:00,-25.993794134,68.795536187,4,2,1,T4_A2_L1,119,1,0.008403361344537815,119.0,63
L1C,4909,phisat_PHISAT-2_L1_000004909_20260402134045_20260402134048_F813E283.zip,PHISAT-2_L1_000004909_20260402134045_20260402134048_F813E283.zip,093681ca-6fa9-50df-954d-fc75c33a959c,2026-04-02 13:40:45+00:00,2026-04-02 13:40:48+00:00,-46.586524242,-23.520806306,4,0,1,T4_A0_L1,47,1,0.02127659574468085,47.0,64
L1C,4952,phisat_PHISAT-2_L1_000004952_20260404160421_20260404160430_1798EA5D.zip,PHISAT-2_L1_000004952_20260404160421_20260404160430_1798EA5D.zip,dbcd4492-da23-5672-a999-fce488bc037d,2026-04-04 16:04:21+00:00,2026-04-04 16:04:30+00:00,-92.973802318,-60.643986534,4,0,0,T4_A0_L0,9,1,0.1111111111111111,9.0,65
L1C,4993,phisat_PHISAT-2_L1_000004993_20260409035539_20260409035544_7887381F.zip,PHISAT-2_L1_000004993_20260409035539_20260409035544_7887381F.zip,19ffa772-e9e3-5bd1-8bca-0255a5681544,2026-04-09 03:55:39+00:00,2026-04-09 03:55:44+00:00,109.614096104,40.757355738,4,2,3,T4_A2_L3,88,1,0.011363636363636364,88.0,66
L1C,5142,phisat_PHISAT-2_L1_000005142_20260420131519_20260420131522_E41D625F.zip,PHISAT-2_L1_000005142_20260420131519_20260420131522_E41D625F.zip,3a256be1-2ca3-5910-b9ce-c2e9e5b33a6e,2026-04-20 13:15:19+00:00,2026-04-20 13:15:22+00:00,-38.875267818,-13.336035308,4,1,1,T4_A1_L1,60,1,0.016666666666666666,60.0,67
